web-scraper-order,web-scraper-start-url,containers,containers-href,prix,superficie ,adresse,image-src
"1739888437-1","https://sn.coinafrique.com/categorie/terrains","Terrain - Morolan","https://sn.coinafrique.com/annonce/terrains/terrain-morolan-5182058","Prix sur demande","1000 m2","Thies, Sénégal","https://images.coinafrique.com/thumb_5182058_uploaded_image1_1739357438.jpg"
"1739888437-2","https://sn.coinafrique.com/categorie/terrains","Terrain - Morolan","https://sn.coinafrique.com/annonce/terrains/terrain-morolan-5182058","Prix sur demande","1000 m2","Thies, Sénégal","https://images.coinafrique.com/thumb_4251708_uploaded_image1_1686474840.jpg"
"1739888437-3","https://sn.coinafrique.com/categorie/terrains","Terrain - Morolan","https://sn.coinafrique.com/annonce/terrains/terrain-morolan-5182058","Prix sur demande","1000 m2","Thies, Sénégal","https://images.coinafrique.com/thumb_4246613_uploaded_image1_1686150379.jpg"
"1739888437-4","https://sn.coinafrique.com/categorie/terrains","Terrain - Morolan","https://sn.coinafrique.com/annonce/terrains/terrain-morolan-5182058","Prix sur demande","1000 m2","Thies, Sénégal","https://images.coinafrique.com/thumb_4088894_uploaded_image1_1675990711.jpg"
"1739888437-5","https://sn.coinafrique.com/categorie/terrains","Terrain - Morolan","https://sn.coinafrique.com/annonce/terrains/terrain-morolan-5182058","Prix sur demande","1000 m2","Thies, Sénégal","https://images.coinafrique.com/thumb_3742222_uploaded_image1_1655226013.jpg"
"1739888439-6","https://sn.coinafrique.com/categorie/terrains","Terrain 300 m² - Yenne","https://sn.coinafrique.com/annonce/terrains/terrain-300-m-yenne-5166804","8 000 000 CFA","300","Toubab Dialao, Sénégal","https://images.coinafrique.com/thumb_5166842_uploaded_image1_1738582024.jpg"
"1739888439-7","https://sn.coinafrique.com/categorie/terrains","Terrain 300 m² - Yenne","https://sn.coinafrique.com/annonce/terrains/terrain-300-m-yenne-5166804","8 000 000 CFA","300","Toubab Dialao, Sénégal","https://images.coinafrique.com/thumb_5166804_uploaded_image1_1738581267.jpg"
"1739888439-8","https://sn.coinafrique.com/categorie/terrains","Terrain 300 m² - Yenne","https://sn.coinafrique.com/annonce/terrains/terrain-300-m-yenne-5166804","8 000 000 CFA","300","Toubab Dialao, Sénégal","https://images.coinafrique.com/thumb_5155221_uploaded_image1_1737981256.jpg"
"1739888439-9","https://sn.coinafrique.com/categorie/terrains","Terrain 300 m² - Yenne","https://sn.coinafrique.com/annonce/terrains/terrain-300-m-yenne-5166804","8 000 000 CFA","300","Toubab Dialao, Sénégal","https://images.coinafrique.com/thumb_4852676_uploaded_image1_1721489889.jpg"
"1739888439-10","https://sn.coinafrique.com/categorie/terrains","Terrain 300 m² - Yenne","https://sn.coinafrique.com/annonce/terrains/terrain-300-m-yenne-5166804","8 000 000 CFA","300","Toubab Dialao, Sénégal","https://images.coinafrique.com/thumb_4571643_uploaded_image1_1706731773.jpg"
"1739888439-11","https://sn.coinafrique.com/categorie/terrains","Terrain 300 m² - Yenne","https://sn.coinafrique.com/annonce/terrains/terrain-300-m-yenne-5166804","8 000 000 CFA","300","Toubab Dialao, Sénégal","https://images.coinafrique.com/thumb_4044536_uploaded_image1_1673432943.jpg"
"1739888439-12","https://sn.coinafrique.com/categorie/terrains","Terrain 300 m² - Yenne","https://sn.coinafrique.com/annonce/terrains/terrain-300-m-yenne-5166804","8 000 000 CFA","300","Toubab Dialao, Sénégal","https://images.coinafrique.com/thumb_4032484_uploaded_image1_1672760653.jpg"
"1739888439-13","https://sn.coinafrique.com/categorie/terrains","Terrain 300 m² - Yenne","https://sn.coinafrique.com/annonce/terrains/terrain-300-m-yenne-5166804","8 000 000 CFA","300","Toubab Dialao, Sénégal","https://images.coinafrique.com/thumb_4037757_uploaded_image1_1673020953.jpg"
"1739888439-14","https://sn.coinafrique.com/categorie/terrains","Terrain 300 m² - Yenne","https://sn.coinafrique.com/annonce/terrains/terrain-300-m-yenne-5166804","8 000 000 CFA","300","Toubab Dialao, Sénégal","https://images.coinafrique.com/thumb_4315491_uploaded_image1_1690809566.jpg"
"1739888439-15","https://sn.coinafrique.com/categorie/terrains","Terrain 300 m² - Yenne","https://sn.coinafrique.com/annonce/terrains/terrain-300-m-yenne-5166804","8 000 000 CFA","300","Toubab Dialao, Sénégal","https://images.coinafrique.com/thumb_2433538_uploaded_image1_1594641710.jpg"
"1739888439-16","https://sn.coinafrique.com/categorie/terrains","Terrain 300 m² - Yenne","https://sn.coinafrique.com/annonce/terrains/terrain-300-m-yenne-5166804","8 000 000 CFA","300","Toubab Dialao, Sénégal","https://images.coinafrique.com/thumb_4518143_uploaded_image1_1703791218.jpg"
